Unnamed: 0,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
30,0.29,0.013859440070002083,0.02485933493623606,0.07678114181725176,0.046810524409473635,0.02997061740777814,0.06,103.0,0.43672,0.82212,0.01139191803000444,0.020887539078222443,0.06411410971228483,0.03935546169492833,0.02475864801735652,0.09,103.0,0.43672,0.93052,0.008826871686412432,0.01677408914112681,0.05048963508525863,0.031299054364159036,0.019190580721099606,0.13,103.0,0.43672,1.0657,0.98
31,0.3,0.013526742320209353,0.024361465882157787,0.07511022224440486,0.04584718310036939,0.029263039144035455,0.06,103.0,0.43672,0.82516,0.011099050818036502,0.020464575124342504,0.06268813320091907,0.038538811202129875,0.02414932199878915,0.09,103.0,0.43672,0.93374,0.008609458796358565,0.016439945662298203,0.04935683997232674,0.030644936609520494,0.01871190336280624,0.13,103.0,0.43672,1.0664,0.98
32,0.31,0.013418828172277334,0.02424241499852369,0.07472277974749376,0.04565712863204005,0.029065651115453707,0.06,103.0,0.43672,0.82707,0.01100937249315622,0.02032604472955908,0.062208966321810874,0.03825826518662739,0.023950701135183484,0.09,103.0,0.43672,0.936,0.008493338233625573,0.016238358810288116,0.04875598236811849,0.030272296834176215,0.018483685533942282,0.13,103.0,0.43672,1.0685,0.98
33,0.32,0.013214699918324324,0.024004821344496757,0.07378736006227647,0.04515540754288797,0.028631952519388493,0.06,103.0,0.43672,0.82886,0.010880356933553288,0.02015265988628448,0.06161014313106173,0.037926320116681685,0.02368382301438005,0.09,103.0,0.43672,0.93875,0.008393987144106415,0.0160876914749513,0.04824956107239182,0.02998527945876556,0.018264281613626268,0.13,103.0,0.43672,1.0689,0.98
34,0.33,0.013144334405907803,0.023851772410231998,0.07335228382979107,0.044864695907450604,0.028487587922340477,0.06,103.0,0.43672,0.83274,0.010744029581189123,0.019926477149156963,0.060862172472642355,0.037485207909643097,0.02337696456299927,0.09,103.0,0.43672,0.93851,0.008277341447628631,0.015906834480702483,0.047668674968956715,0.029645090607821795,0.018023584361134916,0.13,103.0,0.43672,1.0722,0.98
35,0.34,0.012984114117038236,0.023655780618318398,0.07263496882876413,0.04449432078073348,0.02814064804803065,0.06,103.0,0.43672,0.83309,0.010609056433457989,0.01972903497596293,0.06021765632307051,0.03711590219676434,0.023101754126306183,0.09,103.0,0.43672,0.94251,0.008171754304897777,0.01572270116123278,0.04706650386757315,0.029276465117339813,0.017790038750233335,0.13,103.0,0.43672,1.0731,0.98
36,0.35,0.012785170708214576,0.023382099570853892,0.07168927054884476,0.04394774917075628,0.027741521378088496,0.06,103.0,0.43672,0.83775,0.010442149528293728,0.01953636899993021,0.05947243496151381,0.036721334123620504,0.0227511008378933,0.09,103.0,0.43672,0.94358,0.008055669964949603,0.015563534247217388,0.04652278368209501,0.028973417218466423,0.017549366463628584,0.13,103.0,0.43672,1.0735,0.98
37,0.36,0.012665164595908942,0.023191223387399405,0.07110336678406265,0.04360219412720885,0.027501172656853805,0.06,103.0,0.43672,0.83924,0.010368871285595733,0.01938740821566035,0.05906715334761538,0.036452868244598785,0.02261428510301659,0.09,103.0,0.43672,0.94483,0.007949215315068408,0.015391271292687332,0.04598054396860858,0.02865455872073665,0.017325985247871937,0.13,103.0,0.43672,1.0762,0.98
38,0.37,0.012575958371673362,0.0230632253232719,0.0706421008432468,0.04335045608273766,0.02729164476050916,0.06,103.0,0.43672,0.84228,0.010221024278497609,0.019187575980355465,0.0583560262401617,0.03605303179727113,0.022302994442890578,0.09,103.0,0.43672,0.94967,0.007880394706484177,0.015241745116042609,0.04556300084773488,0.028377666483138175,0.0171853343645967,0.13,103.0,0.43672,1.0791,0.98
39,0.38,0.012337817371939569,0.022828689304595223,0.0697322879715043,0.042890047328175404,0.026842240643328904,0.06,103.0,0.43672,0.84377,0.010084690329123198,0.018997281877858044,0.057695121433123074,0.03568986562718322,0.02200525580593984,0.09,103.0,0.43672,0.94979,0.007758634574230908,0.015069551231204091,0.04498152102131327,0.028047355558079117,0.016934165463234157,0.13,103.0,0.43672,1.0804,0.98
