,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
81,0.8,0.0048716,0.0080074,0.025597,0.015186,0.010411,0.12,350.0,0.735,0.0038188,0.0063916,0.020262,0.012089,0.008173,0.15,350.0,0.735,0.0021432,0.0039325,0.011996,0.0073586,0.0046377,0.25,350.0,0.735,0.99
82,0.81,0.0047856,0.0078909,0.025195,0.014962,0.010233,0.12,350.0,0.735,0.0037503,0.0062931,0.019931,0.011901,0.0080302,0.15,350.0,0.735,0.0020989,0.0038586,0.011763,0.0072194,0.0045436,0.25,350.0,0.735,0.99
83,0.82,0.0047003,0.0077756,0.024796,0.014739,0.010057,0.12,350.0,0.735,0.0036826,0.0061957,0.019603,0.011714,0.0078889,0.15,350.0,0.735,0.0020554,0.0037859,0.011533,0.0070825,0.004451,0.25,350.0,0.735,0.99
84,0.83,0.0046157,0.0076615,0.024401,0.014519,0.0098815,0.12,350.0,0.735,0.0036156,0.0060996,0.019279,0.01153,0.0077492,0.15,350.0,0.735,0.0020125,0.0037145,0.011308,0.006948,0.0043598,0.25,350.0,0.735,0.99
85,0.84,0.0045319,0.0075486,0.02401,0.014302,0.0097079,0.12,350.0,0.735,0.0035493,0.0060046,0.018959,0.011348,0.0076109,0.15,350.0,0.735,0.0019703,0.0036443,0.011086,0.0068157,0.0042701,0.25,350.0,0.735,0.99
86,0.85,0.0044487,0.0074369,0.023622,0.014086,0.0095358,0.12,350.0,0.735,0.0034837,0.0059108,0.018643,0.011169,0.0074742,0.15,350.0,0.735,0.0019287,0.0035753,0.010867,0.0066857,0.0041818,0.25,350.0,0.735,0.99
87,0.86,0.0043662,0.0073263,0.023238,0.013873,0.0093651,0.12,350.0,0.735,0.0034188,0.0058182,0.01833,0.010991,0.0073388,0.15,350.0,0.735,0.0018878,0.0035075,0.010653,0.0065578,0.0040948,0.25,350.0,0.735,0.99
88,0.87,0.0042844,0.0072168,0.022858,0.013662,0.0091959,0.12,350.0,0.735,0.0033545,0.0057266,0.018021,0.010816,0.0072049,0.15,350.0,0.735,0.0018475,0.0034408,0.010441,0.0064321,0.0040091,0.25,350.0,0.735,0.99
89,0.88,0.0042032,0.0071085,0.022481,0.013453,0.009028,0.12,350.0,0.735,0.0032909,0.0056362,0.017715,0.010643,0.0070723,0.15,350.0,0.735,0.0018077,0.0033752,0.010233,0.0063085,0.0039248,0.25,350.0,0.735,0.99
90,0.89,0.0041227,0.0070012,0.022107,0.013246,0.0088614,0.12,350.0,0.735,0.0032279,0.0055469,0.017412,0.010471,0.006941,0.15,350.0,0.735,0.0017686,0.0033108,0.010029,0.006187,0.0038417,0.25,350.0,0.735,0.99
