,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
207,2.06,7.7228e-05,0.0024884,0.0036691,0.0034623,0.00020674,1.1,7.5,0.04815,0.00029529,0.0055265,0.0087926,0.0080401,0.0007525,0.75,7.5,0.04815,0.00013839,0.0033208,0.0050918,0.0047316,0.0003602,0.9,7.5,0.04815
208,2.07,7.6492e-05,0.0024476,0.0036088,0.0034047,0.00020406,1.1,7.5,0.04815,0.00029364,0.0054593,0.0086865,0.0079404,0.00074609,0.75,7.5,0.04815,0.0001374,0.0032743,0.0050206,0.0046641,0.00035647,0.9,7.5,0.04815
209,2.08,7.5779e-05,0.0024076,0.0035495,0.0033481,0.00020144,1.1,7.5,0.04815,0.00029203,0.005393,0.0085818,0.007842,0.00073981,0.75,7.5,0.04815,0.00013645,0.0032285,0.0049505,0.0045977,0.00035283,0.9,7.5,0.04815
210,2.09,7.5089e-05,0.0023681,0.0034913,0.0032924,0.00019888,1.1,7.5,0.04815,0.00029047,0.0053274,0.0084786,0.0077449,0.00073366,0.75,7.5,0.04815,0.00013553,0.0031833,0.0048815,0.0045322,0.00034927,0.9,7.5,0.04815
211,2.1,7.4421e-05,0.0023294,0.0034341,0.0032377,0.00019638,1.1,7.5,0.04815,0.00028896,0.0052627,0.0083767,0.0076491,0.00072765,0.75,7.5,0.04815,0.00013464,0.0031388,0.0048135,0.0044678,0.00034579,0.9,7.5,0.04815
212,2.11,7.3776e-05,0.0022913,0.0033779,0.0031839,0.00019395,1.1,7.5,0.04815,0.0002875,0.0051988,0.0082762,0.0075545,0.00072176,0.75,7.5,0.04815,0.00013378,0.0030949,0.0047466,0.0044042,0.00034239,0.9,7.5,0.04815
213,2.12,7.3153e-05,0.0022538,0.0033227,0.0031311,0.00019157,1.1,7.5,0.04815,0.00028609,0.0051357,0.0081771,0.0074611,0.00071599,0.75,7.5,0.04815,0.00013295,0.0030517,0.0046807,0.0043417,0.00033907,0.9,7.5,0.04815
214,2.13,7.2552e-05,0.002217,0.0032684,0.0030791,0.00018926,1.1,7.5,0.04815,0.00028473,0.0050734,0.0080792,0.0073689,0.00071036,0.75,7.5,0.04815,0.00013214,0.0030091,0.0046158,0.00428,0.00033582,0.9,7.5,0.04815
215,2.14,7.1973e-05,0.0021807,0.0032151,0.0030281,0.000187,1.1,7.5,0.04815,0.00028341,0.0050119,0.0079828,0.0072779,0.00070485,0.75,7.5,0.04815,0.00013137,0.002967,0.0045519,0.0042192,0.00033266,0.9,7.5,0.04815
216,2.15,7.1415e-05,0.0021451,0.0031627,0.0029779,0.0001848,1.1,7.5,0.04815,0.00028214,0.0049511,0.0078876,0.0071881,0.00069946,0.75,7.5,0.04815,0.00013062,0.0029256,0.0044889,0.0041594,0.00032957,0.9,7.5,0.04815
217,2.16,7.0878e-05,0.0021101,0.0031112,0.0029286,0.00018266,1.1,7.5,0.04815,0.00028092,0.0048911,0.0077937,0.0070995,0.0006942,0.75,7.5,0.04815,0.00012991,0.0028848,0.004427,0.0041004,0.00032655,0.9,7.5,0.04815
218,2.17,7.0363e-05,0.0020756,0.0030607,0.0028801,0.00018057,1.1,7.5,0.04815,0.00027974,0.0048318,0.007701,0.007012,0.00068906,0.75,7.5,0.04815,0.00012922,0.0028445,0.0043659,0.0040423,0.00032361,0.9,7.5,0.04815
219,2.18,6.9869e-05,0.0020417,0.003011,0.0028324,0.00017854,1.1,7.5,0.04815,0.00027861,0.0047733,0.0076096,0.0069256,0.00068404,0.75,7.5,0.04815,0.00012856,0.0028049,0.0043058,0.003985,0.00032075,0.9,7.5,0.04815
220,2.19,6.9395e-05,0.0020084,0.0029621,0.0027856,0.00017657,1.1,7.5,0.04815,0.00027753,0.0047155,0.0075195,0.0068403,0.00067914,0.75,7.5,0.04815,0.00012793,0.0027658,0.0042466,0.0039286,0.00031796,0.9,7.5,0.04815
221,2.2,6.8943e-05,0.0019756,0.0029142,0.0027395,0.00017465,1.1,7.5,0.04815,0.0002765,0.0046584,0.0074305,0.0067562,0.00067436,0.75,7.5,0.04815,0.00012733,0.0027272,0.0041883,0.0038731,0.00031524,0.9,7.5,0.04815
222,2.21,6.8511e-05,0.0019434,0.002867,0.0026943,0.00017278,1.1,7.5,0.04815,0.00027551,0.004602,0.0073428,0.0066731,0.00066971,0.75,7.5,0.04815,0.00012676,0.0026892,0.0041309,0.0038183,0.0003126,0.9,7.5,0.04815
223,2.22,6.81e-05,0.0019117,0.0028207,0.0026498,0.00017097,1.1,7.5,0.04815,0.00027457,0.0045463,0.0072563,0.0065911,0.00066516,0.75,7.5,0.04815,0.00012621,0.0026518,0.0040744,0.0037643,0.00031003,0.9,7.5,0.04815
224,2.23,6.7709e-05,0.0018805,0.0027752,0.002606,0.00016921,1.1,7.5,0.04815,0.00027367,0.0044913,0.0071709,0.0065102,0.00066074,0.75,7.5,0.04815,0.00012569,0.0026148,0.0040187,0.0037112,0.00030753,0.9,7.5,0.04815
225,2.24,6.7338e-05,0.0018499,0.0027305,0.002563,0.00016751,1.1,7.5,0.04815,0.00027282,0.004437,0.0070867,0.0064302,0.00065644,0.75,7.5,0.04815,0.0001252,0.0025784,0.0039639,0.0036588,0.0003051,0.9,7.5,0.04815
226,2.25,6.6988e-05,0.0018197,0.0026866,0.0025207,0.00016585,1.1,7.5,0.04815,0.00027202,0.0043834,0.0070036,0.0063514,0.00065225,0.75,7.5,0.04815,0.00012474,0.0025425,0.0039099,0.0036071,0.00030274,0.9,7.5,0.04815
227,2.2600000000000002,6.6658e-05,0.0017901,0.0026434,0.0024792,0.00016425,1.1,7.5,0.04815,0.00027126,0.0043304,0.0069217,0.0062735,0.00064817,0.75,7.5,0.04815,0.00012431,0.0025072,0.0038567,0.0035563,0.00030045,0.9,7.5,0.04815
228,2.27,6.6348e-05,0.0017609,0.002601,0.0024383,0.0001627,1.1,7.5,0.04815,0.00027054,0.0042781,0.0068408,0.0061966,0.00064421,0.75,7.5,0.04815,0.0001239,0.0024723,0.0038044,0.0035061,0.00029823,0.9,7.5,0.04815
