,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,g
192,1.91,0.00080381,0.0044027,0.0098315,0.0076371,0.0021945,0.27,100.0,0.21,1.189,0.99
193,1.92,0.00077805,0.0043506,0.0096817,0.007545,0.0021367,0.27,100.0,0.21,1.1922,0.99
194,1.93,0.00075227,0.0042989,0.0095318,0.0074532,0.0020786,0.27,100.0,0.21,1.2004,0.99
195,1.94,0.00072644,0.0042475,0.0093817,0.0073617,0.0020201,0.27,100.0,0.21,1.206,0.99
196,1.95,0.00070056,0.0041965,0.0092315,0.0072704,0.001961,0.27,100.0,0.21,1.2126,0.99
197,1.96,0.00067463,0.0041458,0.0090809,0.0071795,0.0019014,0.27,100.0,0.21,1.2171,0.99
198,1.97,0.00064863,0.0040955,0.00893,0.0070888,0.0018412,0.27,100.0,0.21,1.2242,0.99
199,1.98,0.00062255,0.0040455,0.0087786,0.0069983,0.0017803,0.27,100.0,0.21,1.233,0.99
200,1.99,0.00059638,0.0039959,0.0086265,0.006908,0.0017185,0.27,100.0,0.21,1.239,0.99
201,2.0,0.00057009,0.0039465,0.0084736,0.0068179,0.0016558,0.27,100.0,0.21,1.2488,0.99
202,2.01,0.00054367,0.0038974,0.0083197,0.0067278,0.0015918,0.27,100.0,0.21,1.2575,0.99
203,2.02,0.00051709,0.0038486,0.0081644,0.0066378,0.0015265,0.27,100.0,0.21,1.2663,0.99
204,2.03,0.00049032,0.0038,0.0080073,0.0065477,0.0014596,0.27,100.0,0.21,1.279,0.99
205,2.04,0.00046332,0.0037516,0.007848,0.0064574,0.0013906,0.27,100.0,0.21,1.2855,0.99
206,2.05,0.00043605,0.0037033,0.0076856,0.0063667,0.0013189,0.27,100.0,0.21,1.3029,0.99
207,2.06,0.00040842,0.0036552,0.0075191,0.0062752,0.0012439,0.27,100.0,0.21,1.3164,0.99
