,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
70,0.6900000000000001,0.017559,0.028552,0.092032,0.054408,0.037624,0.043,350.0,0.224,0.013765,0.023147,0.073596,0.043959,0.029636,0.065,350.0,0.224,0.0081717,0.015125,0.046299,0.028454,0.017845,0.133,350.0,0.224,999.0
71,0.7000000000000001,0.017229,0.028183,0.090636,0.05368,0.036955,0.043,350.0,0.224,0.013489,0.022824,0.072401,0.043326,0.029075,0.065,350.0,0.224,0.0079774,0.01487,0.045405,0.027961,0.017444,0.133,350.0,0.224,999.0
72,0.71,0.0169,0.027815,0.089244,0.052955,0.036289,0.043,350.0,0.224,0.013215,0.022503,0.071211,0.042695,0.028516,0.065,350.0,0.224,0.0077844,0.014617,0.044519,0.027472,0.017046,0.133,350.0,0.224,999.0
73,0.72,0.016572,0.027448,0.087857,0.052233,0.035624,0.043,350.0,0.224,0.012941,0.022183,0.070027,0.042069,0.027958,0.065,350.0,0.224,0.0075927,0.014367,0.043639,0.026988,0.016651,0.133,350.0,0.224,999.0
74,0.73,0.016244,0.027084,0.086474,0.051513,0.034961,0.043,350.0,0.224,0.012668,0.021865,0.068849,0.041445,0.027403,0.065,350.0,0.224,0.0074023,0.014119,0.042767,0.026508,0.016258,0.133,350.0,0.224,999.0
75,0.74,0.015918,0.02672,0.085096,0.050796,0.0343,0.043,350.0,0.224,0.012396,0.021549,0.067675,0.040825,0.02685,0.065,350.0,0.224,0.0072131,0.013873,0.041901,0.026033,0.015868,0.133,350.0,0.224,999.0
76,0.75,0.015592,0.026358,0.083722,0.050082,0.03364,0.043,350.0,0.224,0.012126,0.021235,0.066507,0.040208,0.026298,0.065,350.0,0.224,0.007025,0.01363,0.041042,0.025562,0.01548,0.133,350.0,0.224,999.0
77,0.76,0.015267,0.025998,0.082352,0.04937,0.032982,0.043,350.0,0.224,0.011856,0.020922,0.065343,0.039595,0.025749,0.065,350.0,0.224,0.0068381,0.013389,0.040188,0.025095,0.015093,0.133,350.0,0.224,999.0
78,0.77,0.014943,0.025638,0.080985,0.048661,0.032324,0.043,350.0,0.224,0.011587,0.020611,0.064184,0.038984,0.0252,0.065,350.0,0.224,0.0066521,0.01315,0.039341,0.024632,0.014709,0.133,350.0,0.224,999.0
79,0.78,0.01462,0.02528,0.079621,0.047954,0.031668,0.043,350.0,0.224,0.011319,0.020301,0.063027,0.038375,0.024652,0.065,350.0,0.224,0.0064671,0.012913,0.038497,0.024172,0.014325,0.133,350.0,0.224,999.0
80,0.79,0.014297,0.024923,0.078259,0.047248,0.031011,0.043,350.0,0.224,0.011051,0.019993,0.061873,0.037769,0.024104,0.065,350.0,0.224,0.0062829,0.012679,0.037656,0.023716,0.013941,0.133,350.0,0.224,999.0
81,0.8,0.013979,0.024572,0.076912,0.046552,0.03036,0.043,250.0,0.16,0.010788,0.01969,0.060731,0.037171,0.02356,0.065,250.0,0.16,0.0061021,0.012448,0.036822,0.023265,0.013557,0.133,250.0,0.16,999.0
82,0.81,0.013753,0.024313,0.075935,0.046036,0.029899,0.043,250.0,0.16,0.010602,0.019465,0.059902,0.036724,0.023178,0.065,250.0,0.16,0.0059767,0.012274,0.036215,0.022921,0.013294,0.133,250.0,0.16,999.0
83,0.8200000000000001,0.013527,0.024056,0.074966,0.045526,0.029441,0.043,250.0,0.16,0.010418,0.019242,0.059082,0.036282,0.022799,0.065,250.0,0.16,0.0058525,0.012102,0.03562,0.022584,0.013035,0.133,250.0,0.16,999.0
