Unnamed: 0,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
18,0.17,0.007260275592603537,0.01965880833116088,0.05196443690688172,0.03547643043364036,0.01648800647324137,0.15,180.0,2.3814,0.00604368488262405,0.01649044320574013,0.043794641094300035,0.029935830859399073,0.013858810234900973,0.18,180.0,2.3814,0.0041657226754576665,0.013657647023639408,0.03398291378358062,0.02420156330078783,0.009781350482792795,0.25,180.0,2.3814,0.94
19,0.18,0.006165471837519568,0.01878935846540289,0.047980008289497306,0.03372778400867928,0.014252224280818033,0.15,180.0,2.3814,0.004798874774504166,0.015894453448023364,0.03990764361678763,0.028487766128997255,0.011419877487790376,0.18,180.0,2.3814,0.0036089880775600374,0.012841961250804411,0.03126544959618276,0.02263016925316966,0.008635280343013096,0.25,180.0,2.3814,0.94
20,0.19,0.005296049022011771,0.017679674385717173,0.0439100145826656,0.03145121337647156,0.012458801206194045,0.15,180.0,2.3814,0.004276115479160338,0.014856605255845114,0.03671644716506359,0.026485660582586376,0.010230786582477206,0.18,180.0,2.3814,0.0030163154717839404,0.012014776365778116,0.028314197524327067,0.02096638521602344,0.007347812308303626,0.25,180.0,2.3814,0.94
21,0.2,0.004502370811690732,0.016735383335159996,0.040046519376671176,0.029563229566044638,0.010483289810626545,0.15,70.0,0.9261,0.0036888153360627577,0.013962110364745853,0.033411084811855646,0.024656600102473565,0.008754484709382077,0.18,70.0,0.9261,0.002172827402498137,0.011276677070980436,0.024806756871999618,0.01944572547645914,0.005361031395540473,0.25,70.0,0.9261,0.99
22,0.21,0.00438349299390686,0.016747564536130244,0.039797455747187564,0.029585207130859457,0.0102122486163281,0.15,70.0,0.147,0.003445541101377978,0.013953095041314872,0.03283540519576683,0.02460808178198673,0.008227323413780093,0.18,70.0,0.147,0.0023255251914555187,0.011031081587932529,0.02455191818941439,0.019019072231299942,0.0055328459581144495,0.25,70.0,0.147,0.99
23,0.22,0.004410340605753512,0.016447121674532647,0.03927351984251306,0.02899805570153651,0.01027546414097654,0.15,70.0,0.147,0.003306331302322667,0.013962085707470727,0.032527346161554296,0.024564856852067652,0.007962489309486639,0.18,70.0,0.147,0.0023010212822937967,0.010941894487021805,0.02430306934199395,0.018794256242686016,0.005508813099307937,0.25,70.0,0.147,0.99
24,0.23,0.004070119944021774,0.016687612263713982,0.03890969367057082,0.02930097044282663,0.009608723227744193,0.15,70.0,0.147,0.0033245423962865606,0.013897039003505664,0.032304359193581156,0.024411111375393486,0.00789324781818767,0.18,70.0,0.147,0.002160834167968674,0.010951681543240948,0.023984936885592455,0.018737795786473985,0.005247141099118474,0.25,70.0,0.147,0.99
25,0.24,0.00406432134212804,0.01648662989789347,0.03849837094851974,0.028880030367253014,0.00961834058126673,0.15,70.0,0.147,0.003387926399468729,0.013644416972195908,0.031977202312879455,0.023967056529337925,0.008010145783541523,0.18,70.0,0.147,0.002021288962868045,0.010971901995907661,0.02362280910493259,0.018706339542280383,0.004916469562652206,0.25,70.0,0.147,0.99
26,0.25,0.004405028744319413,0.0161343578939032,0.03849185929253375,0.02826478841986946,0.010227070872664291,0.15,70.0,0.147,0.003209290653554511,0.01359792091654135,0.031451737212027375,0.02383174977359571,0.007619987438431662,0.18,70.0,0.147,0.002090140554380351,0.01088658942046568,0.023674845310218393,0.018601396549583687,0.005073448760634709,0.25,70.0,0.147,0.99
27,0.26,0.003990054991450602,0.01623249325438773,0.03772553789210504,0.028303924628414932,0.009421613263690107,0.15,70.0,0.147,0.003313631554920217,0.013376849852175373,0.03133258690475192,0.02343857492636187,0.007894011978390054,0.18,70.0,0.147,0.0020096653293487504,0.010762300228497007,0.023256471652268955,0.018402388161921343,0.0048540834903476205,0.25,70.0,0.147,0.99
