,depths,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0
215,2.14,0.020798,0.027984,0.097206,0.054077,0.043129,0.05,250.0,0.525
216,2.15,0.020658,0.027795,0.096551,0.053712,0.042839,0.05,250.0,0.525
217,2.16,0.020518,0.027608,0.095901,0.05335,0.04255,0.05,250.0,0.525
218,2.17,0.02038,0.027422,0.095255,0.052991,0.042264,0.05,250.0,0.525
219,2.18,0.020243,0.027237,0.094613,0.052634,0.041979,0.05,250.0,0.525
220,2.19,0.020106,0.027054,0.093975,0.052279,0.041696,0.05,250.0,0.525
221,2.2,0.019971,0.026872,0.093342,0.051927,0.041415,0.05,250.0,0.525
222,2.21,0.019836,0.026691,0.092713,0.051577,0.041136,0.05,250.0,0.525
223,2.22,0.019703,0.026511,0.092089,0.05123,0.040859,0.05,250.0,0.525
224,2.23,0.01957,0.026332,0.091468,0.050885,0.040584,0.05,250.0,0.525
225,2.24,0.019438,0.026155,0.090852,0.050542,0.04031,0.05,250.0,0.525
226,2.25,0.019307,0.025978,0.09024,0.050201,0.040039,0.05,250.0,0.525
227,2.2600000000000002,0.019177,0.025803,0.089632,0.049863,0.039769,0.05,250.0,0.525
228,2.27,0.019048,0.02563,0.089028,0.049527,0.039501,0.05,250.0,0.525
229,2.2800000000000002,0.01892,0.025457,0.088428,0.049194,0.039235,0.05,250.0,0.525
230,2.29,0.018792,0.025285,0.087833,0.048862,0.038971,0.05,250.0,0.525
231,2.3000000000000003,0.018666,0.025115,0.087241,0.048533,0.038708,0.05,250.0,0.525
232,2.31,0.01854,0.024946,0.086653,0.048206,0.038447,0.05,250.0,0.525
233,2.32,0.018415,0.024778,0.08607,0.047881,0.038188,0.05,250.0,0.525
234,2.33,0.018291,0.024611,0.08549,0.047559,0.037931,0.05,250.0,0.525
235,2.34,0.018168,0.024445,0.084914,0.047238,0.037675,0.05,250.0,0.525
236,2.35,0.018045,0.02428,0.084342,0.04692,0.037422,0.05,250.0,0.525
237,2.36,0.017924,0.024117,0.083774,0.046604,0.03717,0.05,250.0,0.525
238,2.37,0.017803,0.023954,0.083209,0.04629,0.036919,0.05,250.0,0.525
239,2.38,0.017683,0.023793,0.082648,0.045978,0.03667,0.05,250.0,0.525
240,2.39,0.017564,0.023633,0.082092,0.045668,0.036423,0.05,250.0,0.525
241,2.4,0.017446,0.023473,0.081539,0.045361,0.036178,0.05,250.0,0.525
242,2.41,0.017328,0.023315,0.080989,0.045055,0.035934,0.05,250.0,0.525
243,2.42,0.017211,0.023158,0.080444,0.044751,0.035692,0.05,250.0,0.525
244,2.43,0.017095,0.023002,0.079902,0.04445,0.035452,0.05,250.0,0.525
245,2.44,0.01698,0.022847,0.079363,0.044151,0.035213,0.05,250.0,0.525
246,2.45,0.016866,0.022693,0.078829,0.043853,0.034976,0.05,250.0,0.525
247,2.46,0.016752,0.02254,0.078298,0.043558,0.03474,0.05,250.0,0.525
248,2.47,0.016639,0.022389,0.07777,0.043264,0.034506,0.05,250.0,0.525
249,2.48,0.016527,0.022238,0.077246,0.042973,0.034274,0.05,250.0,0.525
250,2.49,0.016416,0.022088,0.076726,0.042683,0.034043,0.05,250.0,0.525
251,2.5,0.016305,0.021939,0.076209,0.042396,0.033813,0.05,250.0,0.525
252,2.5100000000000002,0.016195,0.021791,0.075696,0.04211,0.033585,0.05,250.0,0.525
253,2.52,0.016086,0.021644,0.075186,0.041826,0.033359,0.05,250.0,0.525
254,2.5300000000000002,0.015978,0.021499,0.074679,0.041545,0.033134,0.05,250.0,0.525
255,2.54,0.01587,0.021354,0.074176,0.041265,0.032911,0.05,250.0,0.525
256,2.5500000000000003,0.015763,0.02121,0.073676,0.040987,0.03269,0.05,250.0,0.525
257,2.56,0.015657,0.021067,0.07318,0.040711,0.032469,0.05,250.0,0.525
258,2.57,0.015552,0.020925,0.072687,0.040436,0.032251,0.05,250.0,0.525
259,2.58,0.015447,0.020784,0.072197,0.040164,0.032033,0.05,250.0,0.525
260,2.59,0.015343,0.020644,0.071711,0.039893,0.031817,0.05,250.0,0.525
261,2.6,0.015239,0.020505,0.071228,0.039625,0.031603,0.05,250.0,0.525
262,2.61,0.015137,0.020367,0.070748,0.039358,0.03139,0.05,250.0,0.525
263,2.62,0.015035,0.02023,0.070271,0.039092,0.031179,0.05,250.0,0.525
264,2.63,0.014934,0.020093,0.069798,0.038829,0.030969,0.05,250.0,0.525
265,2.64,0.014833,0.019958,0.069327,0.038567,0.03076,0.05,250.0,0.525
266,2.65,0.014733,0.019824,0.068861,0.038308,0.030553,0.05,250.0,0.525
267,2.66,0.014634,0.01969,0.068397,0.03805,0.030347,0.05,250.0,0.525
268,2.67,0.014535,0.019557,0.067936,0.037793,0.030143,0.05,250.0,0.525
269,2.68,0.014437,0.019426,0.067478,0.037539,0.02994,0.05,250.0,0.525
270,2.69,0.01434,0.019295,0.067024,0.037286,0.029738,0.05,250.0,0.525
271,2.7,0.014243,0.019165,0.066572,0.037035,0.029538,0.05,250.0,0.525
272,2.71,0.014147,0.019036,0.066124,0.036785,0.029339,0.05,250.0,0.525
273,2.72,0.014052,0.018907,0.065678,0.036537,0.029141,0.05,250.0,0.525
274,2.73,0.013958,0.01878,0.065236,0.036291,0.028945,0.05,250.0,0.525
275,2.74,0.013864,0.018654,0.064796,0.036047,0.02875,0.05,250.0,0.525
276,2.75,0.01377,0.018528,0.06436,0.035804,0.028556,0.05,250.0,0.525
277,2.7600000000000002,0.013677,0.018403,0.063926,0.035563,0.028364,0.05,250.0,0.525
278,2.77,0.013585,0.018279,0.063496,0.035323,0.028173,0.05,250.0,0.525
279,2.7800000000000002,0.013494,0.018156,0.063068,0.035085,0.027983,0.05,250.0,0.525
280,2.79,0.013403,0.018034,0.062643,0.034849,0.027794,0.05,250.0,0.525
281,2.8000000000000003,0.013312,0.017912,0.062221,0.034614,0.027607,0.05,250.0,0.525
282,2.81,0.013223,0.017792,0.061802,0.034381,0.027421,0.05,250.0,0.525
283,2.82,0.013134,0.017672,0.061385,0.034149,0.027236,0.05,250.0,0.525
284,2.83,0.013045,0.017553,0.060972,0.033919,0.027053,0.05,250.0,0.525
285,2.84,0.012957,0.017434,0.060561,0.033691,0.026871,0.05,250.0,0.525
286,2.85,0.01287,0.017317,0.060153,0.033464,0.02669,0.05,250.0,0.525
287,2.86,0.012783,0.0172,0.059748,0.033238,0.02651,0.05,250.0,0.525
288,2.87,0.012697,0.017084,0.059345,0.033014,0.026331,0.05,250.0,0.525
289,2.88,0.012612,0.016969,0.058946,0.032792,0.026154,0.05,250.0,0.525
290,2.89,0.012527,0.016855,0.058549,0.032571,0.025978,0.05,250.0,0.525
291,2.9,0.012442,0.016741,0.058154,0.032352,0.025803,0.05,250.0,0.525
292,2.91,0.012359,0.016629,0.057762,0.032134,0.025629,0.05,250.0,0.525
293,2.92,0.012275,0.016517,0.057373,0.031917,0.025456,0.05,250.0,0.525
294,2.93,0.012193,0.016405,0.056987,0.031702,0.025285,0.05,250.0,0.525
295,2.94,0.012111,0.016295,0.056603,0.031488,0.025114,0.05,250.0,0.525
296,2.95,0.012029,0.016185,0.056221,0.031276,0.024945,0.05,250.0,0.525
297,2.96,0.011948,0.016076,0.055843,0.031066,0.024777,0.05,250.0,0.525
298,2.97,0.011867,0.015968,0.055467,0.030856,0.02461,0.05,250.0,0.525
299,2.98,0.011787,0.01586,0.055093,0.030648,0.024444,0.05,250.0,0.525
300,2.99,0.011708,0.015753,0.054722,0.030442,0.02428,0.05,250.0,0.525
301,3.0,0.011629,0.015647,0.054353,0.030237,0.024116,0.05,250.0,0.525
